nome,poluicao,felicidade,exp,moneyForTurn,nvl,custo,Fazenda,Residências,Floresta,Industrial,Comercial,Acadêmico,Prefeitura
Usina Nuclear,-6,-5,5,40,5,100,Fazenda,Residências,Floresta,Industrial,Comercial,Acadêmico,
Fiscalização,-4,-3,0,-10,1,3,,,Floresta,,,Acadêmico,
Lei Ambiental,-4,2,1,-10,3,5,,Residências,Floresta,,,Acadêmico,
Org. Ambiental,-3,1,1,-10,3,30,,,Floresta,,,Acadêmico,
Parque Nacional,-4,2,1,-3,4,40,,,,,,Acadêmico,
Centro de Reciclagem,-3,4,2,-5,3,50,,Residências,Floresta,Industrial,,Acadêmico,
Reforma Agrária,-4,4,0,-12,3,10,Fazenda,,,,,,
Usina Eólica,-3,-1,4,10,3,50,Fazenda,Residências,Floresta,Industrial,Comercial,Acadêmico,
Fazenda Comunitária,-3,3,0,5,2,25,,,Floresta,,,,
Policultura,-2,4,1,15,3,20,Fazenda,,Floresta,,,Acadêmico,
Transporte Público Gratuito,-4,5,0,-20,4,45,,Residências,,Industrial,Comercial,,
Reserva Ambiental,-2,1,2,-3,1,20,,,Floresta,,,Acadêmico,
Industria Eletrônica,-2,1,2,30,5,80,,,,Industrial,Comercial,Acadêmico,
Transporte Público,-2,2,0,10,3,45,,Residências,,Industrial,Comercial,,
Guarda Ambiental,-2,1,1,-5,3,25,,,Floresta,,,Acadêmico,
Usina de Painel Solar,-2,2,2,20,4,70,Fazenda,Residências,Floresta,Industrial,Comercial,Acadêmico,
Inv. nos Bombeiros,-2,3,2,3,1,20,Fazenda,Residências,Floresta,Industrial,Comercial,Acadêmico,
Laboratório,-2,3,5,-3,4,70,,,Floresta,,,Acadêmico,
Proibição de Agrotóxicos,-2,1,0,-15,3,40,,Residências,Floresta,,,,
Usina Hidrelétrica,-1,-1,3,30,4,80,Fazenda,Residências,Floresta,Industrial,Comercial,Acadêmico,
Agricultura Familiar,-1,1,0,3,1,10,Fazenda,Residências,Floresta,,,,
Acampamento,-1,2,0,3,1,7,,Residências,Floresta,,,,
Praça,-1,2,0,5,2,35,,Residências,Floresta,,,,
Direitos Trabalhistas,-1,4,0,-15,2,7,,Residências,,,,,
Mais Impostos,0,-5,0,20,1,1,,,Floresta,,,Acadêmico,
Especulação Imobiliária,0,-5,0,20,2,8,,Residências,,,Comercial,,
Feira,0,1,0,2,1,5,Fazenda,Residências,,,Comercial,,
Trabalhadores,0,1,0,5,1,10,Fazenda,,,Industrial,Comercial,,
Posto de Gasolina,1,1,0,5,1,15,Fazenda,Residências,,Industrial,Comercial,Acadêmico,
Igreja,0,2,-1,3,1,7,,Residências,,,Comercial,,
Biblioteca,0,2,3,-5,2,25,,,,,,Acadêmico,
Criação de Patentes,0,2,3,15,3,20,,,,Industrial,Comercial,Acadêmico,
Inv. em Professores,0,2,5,-2,1,20,,,,,,Acadêmico,
Piscina Comunitária,0,3,0,8,2,30,,Residências,,,,,
Loja de Jogos,0,3,1,5,2,15,,,,,Comercial,Acadêmico,
Bolsa Estudantil,0,3,5,-10,1,10,,,,,,Acadêmico,
Bolsas para Mestrados,0,3,10,-6,3,25,,,,,,Acadêmico,
Banco,0,2,0,30,3,40,,,,Industrial,Comercial,,
Escola Pública,0,4,4,-15,1,25,,Residências,,,,Acadêmico,
Bolsas para Doutores,0,4,4,-8,4,20,,,,,,Acadêmico,
Menos Impostos,0,3,0,-20,1,1,Fazenda,Residências,,Industrial,Comercial,,
Centro Comunitário,0,2,0,-5,2,20,,Residências,,,,,
Bolsa de Valores,0,3,0,20,4,40,,,,,Comercial,,
Shopping,0,3,0,25,4,70,,,,,Comercial,,
Moradia Financiada,0,6,0,-3,2,40,Fazenda,Residências,,,,,
Pecuária,2,-3,0,10,2,40,Fazenda,,,,,,
Serraria,1,-2,0,5,1,15,,,,Industrial,,,
Industria Têxtil,1,-2,0,20,1,20,,,,Industrial,Comercial,,
Paredão,1,1,-1,2,0,1,,Residências,,,,,
Inv. na Delegacia,1,1,2,2,1,15,,Residências,,Industrial,Comercial,Acadêmico,
Banquinha de Acarajé,1,2,0,2,1,5,,Residências,,,Comercial,,
Granja,1,2,0,5,1,20,Fazenda,,,,,,
Pousada,1,2,0,7,2,25,,Residências,Floresta,,,,
Mercado,2,2,0,8,2,20,Fazenda,Residências,,,Comercial,,
Pavimentação,1,1,1,5,2,30,Fazenda,Residências,Floresta,Industrial,Comercial,Acadêmico,
Farmácia,1,2,4,4,1,20,,,Floresta,Industrial,Comercial,Acadêmico,
Trab. Especializados,1,3,0,10,3,25,Fazenda,,,Industrial,Comercial,,
Loja de Eletrônicos,1,3,1,10,2,30,,Residências,,,Comercial,Acadêmico,
Industria Farmaceutica,3,3,2,20,4,60,,,Floresta,Industrial,Comercial,Acadêmico,
Fertilizantes Quimicos,4,-4,1,25,4,20,Fazenda,,,,Comercial,Acadêmico,
Ônibus Escolares,1,4,2,-5,2,30,,Residências,,,,Acadêmico,
Parque de Diversão,1,4,0,10,2,40,,Residências,,,,,
Cinema,1,4,0,10,3,40,,Residências,,,Comercial,,
Agricultura Transgênica,5,-3,2,40,5,60,Fazenda,,,,Comercial,Acadêmico,
Monocultura,3,-2,0,10,2,30,Fazenda,,,,Comercial,,
Maquinário Agricultor,2,-2,0,40,5,70,Fazenda,,,Industrial,,,
